-------------------------------------------------------------------------------------------------
 断面    流量     水位   含沙量  悬沙级配
-------------------------------------------------------------------------------------------------
   1   1000.00    119.00 
   2   1000.00    117.49 
   3   1000.00    115.94 
   4   1000.00    115.47 
   5   1000.00    115.32 
   6   1000.00    112.78 
   7   1000.00    111.42 
   8   1000.00    111.35 
   9   1000.00    111.24 
  10   1000.00    110.33 
  11   1000.00    108.85 
  12   1000.00    108.14 
  13   1000.00    107.80 
  14   1000.00    107.67 
  15   1000.00    107.42 
  16   1000.00    106.99 
  17   1000.00    106.84 
  18   1000.00    106.56 
  19   1000.00    106.10 
  20   1000.00    105.89 
  21   1000.00    105.79 
  22   1000.00    105.58 
  23   1000.00    105.37 
  24   1000.00    105.09 
  25   1000.00    104.59 
  26   1000.00    104.04 
  27   1000.00    103.49 
  28   1000.00    103.19 
  29   1000.00    102.92 
  30   1000.00    101.85 
  31   1000.00    101.38 
  32   1000.00    100.70 
  33   1000.00    100.13 
  34   1000.00    100.01 
  35   1000.00     99.63 
  36   1000.00     99.20 
  37   1000.00     99.00 
  38   1000.00     98.12 
  39   1000.00     97.61 
  40   1000.00     97.50 
  41   1000.00     97.18 
  42   1000.00     96.35 
  43   1000.00     95.91 
  44   1000.00     95.34 
  45   1000.00     95.08 
  46   1000.00     94.88 
  47   1000.00     94.77 
  48   1000.00     94.70 
  49   1000.00     94.56 
  50   1000.00     94.00 
  51   1000.00     93.22 
  52   1000.00     93.00 
  53   1000.00     92.72 
  54   1000.00     91.88 
  55   1000.00     91.48 
  56   1000.00     91.23 
  57   1000.00     90.69 
  58   1000.00     89.71 
  59   1000.00     89.58 
  60   1000.00     89.40 
  61   1000.00     89.17 
  62   1000.00     88.88 
  63   1000.00     88.51 
  64   1000.00     88.15 
  65   1000.00     87.68 
  66   1000.00     87.46 
  67   1000.00     87.18 
  68   1000.00     87.11 
  69   1000.00     86.65 
  70   1000.00     85.88 
  71   1000.00     85.16 
  72   1000.00     84.89 
  73   1000.00     84.79 
  74   1000.00     84.45 
  75   1000.00     84.28 
  76   1000.00     81.70 
  77   1000.00     81.17 
  78   1000.00     81.06 
  79   1000.00     80.70 
  80   1000.00     80.10 
  81   1000.00     79.86 
  82   1000.00     79.65 
  83   1000.00     79.39 
  84   1000.00     77.42 
  85   1000.00     77.24 
  86   1000.00     76.90 
  87   1000.00     76.11 
  88   1000.00     75.78 
  89   1000.00     75.32 
  90   1000.00     75.06 
  91   1000.00     74.44 
  92   1000.00     73.96 
  93   1000.00     73.68 
  94   1000.00     73.25 
  95   1000.00     72.82 
  96   1000.00     72.65 
  97   1000.00     71.86 
  98   1000.00     71.42 
  99   1000.00     71.07 
 100   1000.00     70.71 
 101   1000.00     70.50 
 102   1000.00     70.26 
 103   1000.00     70.14 
 104   1000.00     69.45 
 105   1000.00     69.19 
 106   1000.00     69.12 
 107   1000.00     69.04 
 108   1000.00     68.79 
 109   1000.00     68.16 
 110   1000.00     67.49 
 111   1000.00     67.10 
 112   1000.00     66.80 
 113   1000.00     66.40 
 114   1000.00     66.21 
 115   1000.00     66.05 
 116   1000.00     66.01 
 117   1000.00     64.67 
 118   1000.00     64.12 
 119   1000.00     64.08 
