1                            
1	  14	 0.        0.    








备份 82.8 滩地蓄水 
31                                  ！蓄水体总个数
1	  14	 100        129.44      ！编号，蓄水体所在断面位置编号，蓄水体面积，蓄水体容积  
2	  15	 150        71.5        ！如果不进行滩地蓄水计算，蓄水体面积＝0；蓄水体容积＝0
3	  16	 130.3      146.5         
4	  17	 32.87      105.67        
5	  18	 72.95      13.0625       
6	  19	 42.82      13.0625       
7	  20	 50.72      69.1          
8	  21	 18.28      60            
9	  22	 32.61      83            
10	23		 23.81      21         
11	24		 40.78      41         
12	25		 30.08      42         
13	26		 30.08      69.5         
14	27		 30.08      72.833
15	28		 30.08      72.833
16	29		 30.08      72.833
17	32		30		12
18	33		30		12
19	34		30		12
20	44		30		25
21	45		30		25
22	46		30		25
23	47		30		25
24	48		30		25
25	49		30		25
26	50		30		25
27	51		30		25
28	52		30		35
29	53		30		35
30	54		30		35
31	55		30		35
